summoner,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kai'Sa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu & Willump,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Senna,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
bloodywolf3,0,0,1425,138,0,0,1785,0,3971,0,0,0,0,2317,0,0,0,133,0,0,0,0,2169,0,175,0,0,992,0,0,0,0,0,14111,0,0,0,0,0,0,0,0,669,0,0,0,0,1005,136,752,0,0,124,895,0,0,0,3236,0,0,0,24254,0,1818,0,0,0,0,8660,2383,0,0,2852,126,0,252,0,20633,0,0,0,2087,0,12301,0,0,0,0,0,2814,0,0,0,0,0,0,0,0,46652,0,0,0,185,0,0,0,0,7196,0,3474,15577,0,1546,0,0,0,0,838,0,0,156,0,34181,0,978,0,0,0,0,416,0,0,0,133,0,979,8829,0,0,13683,1106,0,0,0,0,2674,0,526,0,0
Catglide,0,11552,29820,0,0,0,1241,8076,2179,0,14555,0,1586,0,0,4963,235,0,0,0,0,10974,0,201,0,0,0,0,0,2048,0,0,86,0,96,0,0,0,262,5992,15561,1535,4932,0,0,856,0,21366,17480,925,1311,252,0,2347,17355,0,0,0,19994,0,0,2269,0,1335,7535,0,764,0,75564,1291,0,0,6579,8533,0,14445,11453,0,808,161892,0,0,829,0,1436,99,1674,230,0,22309,1274,6132,0,577,106,0,2997,0,1682,0,8004,1451,0,0,59682,0,0,0,0,0,1859,0,1113,18844,0,7101,0,0,1250,972,148,0,99,140,1210,2357,143,0,775,0,0,0,0,0,194,2549,0,8089,0,0,5841,3290,0,4709,0,123,0,84,5051,856
Eagleglide,100,19713,12136,197,0,0,0,0,25235,0,126,0,0,0,100,12131,0,4530,0,0,0,11957,0,0,2160,97,5483,0,0,0,0,80,0,1123,0,0,0,0,0,0,9996,0,2123,0,5469,0,0,0,14451,0,21796,0,0,10022,6529,0,0,0,0,585,0,0,0,28903,0,0,0,80,14846,0,107,116,0,26018,0,28154,818,84,0,0,266,0,73,0,0,0,964,0,92,13841,2176,1716,0,0,92,0,13453,0,0,0,36510,0,0,0,0,0,0,1601,0,20628,13982,102,0,131,0,0,0,0,0,0,1440,1111,122,0,0,0,0,0,15637,0,0,1835,0,0,0,113,0,24066,0,0,1219,0,0,0,0,0,768,0,194,126
Zares,24409,1058,931,3690,740,3330,1090,11422,1471,1986,18463,10553,1250,11045,13534,3449,0,720,6099,904,8603,0,3036,22779,50174,0,388,32546,5108,410,119,1381,57703,6092,5621,1107,87851,2229,1788,3093,0,7121,0,17623,9614,18106,96320,0,0,0,1880,14633,2079,135,965,19445,0,2205,19403,7240,52804,0,4206,4600,0,116,65036,0,1066,26783,301464,25173,20528,1074,12440,4413,1411,119943,1075,0,4775,4541,1147,13188,0,16336,30973,2351,16493,0,896,11147,38411,682,5975,7967,1058,1134,21342,94,0,3660,1714,12944,963,2452,3538,3227,272,1037,16678,133266,13094,0,4039,602,10718,6213,4234,14672,1288,19135,3372,13917,31549,40958,662,62503,0,2188,129,3132,3721,4931,44064,55974,39674,0,5277,18741,35635,1029,12934,12343,111,4921,3507,1247,0,806
RinzlerTheGod,821,2102,91,3497,120,0,867,6824,6847,0,2391,1138,42556,4274,5106,19020,242,0,2451,111,152556,133,3252,25000,95,0,0,2939,757,157,927,2696,1767,10367,497,329,715,2522,0,2066,1053,0,4340,6538,66482,266,46807,2059,228,1673,7933,2940,183,2616,0,14371,0,348,124,941,1504,0,11126,500,0,115,28621,802,5219,19947,227,1305,20284,49829,10503,3892,146,22073,1293,561,0,0,1350,12804,606,10340,5375,0,12267,0,887,6523,3003,112,6001,8403,813,0,764,1167,0,93616,3269,1470,0,1023,0,1930,113,3233,3134,3007,85,99,2944,0,1453,138,456,24905,4890,4737,3102,126,3921,3962,91290,4970,7827,6143,1150,7326,0,314,11426,995,688,913,126,11078,12287,0,0,1986,1142,4108,1167,407,87,0
ertanica83,150,0,0,0,2172,0,1207,0,1522,0,0,0,1889,252,0,1094,0,1291,0,0,1838,0,0,0,0,0,0,0,0,0,0,0,0,13302,0,0,0,161,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,19789,147,0,0,0,0,0,0,0,0,0,0,0,157,0,0,2638,0,0,2629,2177,1637,0,0,1084,15776,0,0,0,0,0,0,0,0,0,3852,0,0,0,0,0,1605,0,361,0,0,0,0,96,0,0,0,0,0,4899,0,651,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,70,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
LeylaTheGoddess,0,2753,122,0,0,93,225,0,2292,99,0,0,1919,908,0,4293,0,1318,343,0,3790,24963,148,0,157,273,2826,94,0,0,108,143,0,3497,0,0,748,0,935,540,557,0,0,0,1417,0,678,1912,2389,198,0,0,0,223,615,0,0,1230,0,0,776,897,127,2201,0,0,895,126,1042,229,0,1038,3384,8544,75,4866,1021,773,1101,0,1593,0,0,0,517,132,109,2658,188,0,906,0,705,0,1165,118,170,0,152,0,13778,1188,1019,0,142,0,0,5530,0,1146,3777,0,0,1363,0,0,144,0,0,282,2466,0,0,100,950,0,96,0,807,2908,781,750,0,137,4990,0,799,14882,641,0,0,0,0,3420,0,0,0,704,0,0
bennatofigo,4334,4677,10780,16450,0,0,0,179,29095,0,4551,67754,24752,56923,0,54835,11793,173,402,2415,7895,10202,1061,16117,9568,0,8585,1460,18130,5291,0,0,22323,4513,5846,7584,2257,2220,31657,70615,45012,84602,29327,45017,14767,5077,5421,16863,65981,47610,29178,4984,1268,1903,11461,35357,1374,1127,32943,0,2527,967,3095,4938,0,0,1179,4112,23323,129,11915,23087,36072,44365,6775,356,6933,118,0,0,13058,884,62375,2672,8356,0,0,0,25718,0,2244,28529,7720,116,22663,483,0,0,64956,5177,0,5642,29969,16007,7626,0,0,4403,55523,0,21190,763,4546,2694,68849,9593,0,64241,22791,1365,0,8516,2184,1345,21834,3502,0,7075,27725,3924,0,942,9014,2019,2782,874,7662,1319,13806,20741,9808,0,11309,151,53691,150,0,4929,0,6626
MOZAYR1,1256,23668,11484,1026,154,1334,0,1665,10864,343,209,0,0,104,0,0,144,0,2795,0,1907,0,0,2196,1263,0,4623,2891,11913,0,659,625,0,9201,1977,0,0,6573,0,7734,29428,0,1174,0,0,0,0,0,19453,2854,12505,105,0,2980,7264,0,1878,202,0,0,0,144,185,1311,0,17882,91,0,6694,75,0,19652,808,129,111,7468,122,248,17953,7349,207,8885,6763,6858,0,0,16622,0,603,0,95,0,236,0,2376,1098,0,0,2263,4772,34570,8429,0,13068,232,257,3878,89,0,134,1475,34132,591,402,246,106,4727,0,294,13415,0,0,3705,0,200,104,50596,0,193,139,4979,0,1258,103,11384,32522,928,0,17596,129,16350,0,137,2146,1035,121,0,0,0,0
Verapimil,0,1123,0,0,0,0,0,0,2340,0,0,0,0,0,0,0,0,0,1322,0,123,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1787,0,25219,0,0,0,0,1545,0,0,0,8989,1770,0,0,255,0,0,0,0,0,0,1928,0,0,0,0,0,0,791,0,3435,0,1298,0,0,0,143,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,11924,12628,0,0,0,0,0,0,0,0,953,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
